DATETIME,LATITUDE,LONGITUDE,ELEVATION,MPH,KPH,KNOTS
2017-11-01 13:43:58,39.75843,-104.97705,"1,587",0,0,0
2017-11-01 13:51:05,39.75854,-104.97726,"1,586",0.08,0.17,0.07
2017-11-01 14:01:12,39.75863,-104.97726,"1,586",0.06,0.06,0.05
2017-11-01 14:11:05,39.75858,-104.97716,"1,586",0.06,0.06,0.05
2017-11-01 14:21:09,39.75844,-104.97728,"1,590",0.06,0.12,0.05
2017-11-01 14:31:09,39.75853,-104.97728,"1,590",0.06,0.06,0.05
2017-11-01 18:32:28,39.75792,-104.97713,"1,591",0.01,0.02,0.01
2017-11-01 19:06:27,39.75802,-104.97707,"1,587",0.02,0.02,0.02
2017-11-01 20:18:34,39.75849,-104.97716,"1,587",0.02,0.04,0.02
2017-11-01 20:27:40,39.76075,-104.95889,"1,599",6.46,10.42,5.61
2017-11-01 20:37:31,39.77549,-104.86418,"1,615",31.25,50.31,27.15
2017-11-01 20:47:31,39.8336,-104.73114,"1,635",48.78,78.48,42.39
2017-11-01 20:57:29,39.8496,-104.67293,"1,637",19.75,31.79,17.16
2017-11-01 21:07:29,39.84801,-104.67336,"1,637",0.66,1.08,0.57
2017-11-01 21:18:03,39.84876,-104.67407,"1,638",0.34,0.57,0.3
2017-11-02 4:38:12,40.64887,-73.78357,4,221.11,355.84,192.14
2017-11-02 21:25:21,25.26705,51.61724,1,398.8,641.8,346.55
2017-11-03 5:02:49,27.69867,85.35682,"1,598",273.79,440.62,237.92
2017-11-03 5:42:18,27.70584,85.34636,"1,317",1.23,1.98,1.07
2017-11-03 5:52:18,27.70666,85.34491,"1,316",0.66,1.02,0.57
2017-11-03 6:02:18,27.71108,85.34156,"1,314",2.22,3.54,1.93
2017-11-03 6:12:45,27.71149,85.34134,"1,315",0.17,0.29,0.15
2017-11-03 6:22:45,27.71179,85.34117,"1,315",0.12,0.24,0.1
2017-11-03 6:32:14,27.71191,85.3382,"1,315",1.14,1.83,0.99
2017-11-03 6:42:23,27.71349,85.3236,"1,509",5.32,8.57,4.62
2017-11-04 22:26:37,27.68746,86.73146,"3,433",2.17,3.49,1.88
2017-11-04 22:44:16,27.68708,86.73139,"3,073",0.1,0.14,0.09
2017-11-05 0:53:21,27.71858,86.71387,"4,570",1.13,1.82,0.98
2017-11-05 1:03:21,27.71828,86.71387,"4,564",0.12,0.18,0.1
2017-11-05 1:13:21,27.71819,86.71387,"4,563",0.06,0.06,0.05
2017-11-05 1:33:02,27.74029,86.71232,"4,196",1.21,1.96,1.05
2017-11-05 1:34:28,27.71941,86.71414,"4,587",0.26,0.4,0.22
2017-11-05 1:44:28,27.72538,86.71423,"4,703",2.46,3.96,2.14
2017-11-05 1:54:28,27.72971,86.7168,"4,794",2.04,3.24,1.77
2017-11-05 19:43:33,27.75611,86.7102,"3,613",0.06,0.1,0.05
2017-11-05 21:33:31,27.77803,86.72239,"4,331",0.92,1.48,0.8
2017-11-05 21:43:31,27.77799,86.72206,"4,338",0.12,0.18,0.1
2017-11-05 21:53:31,27.77803,86.72206,"4,338",0,0,0
2017-11-05 22:33:54,27.77798,86.72212,"4,336",0.01,0.01,0.01
2017-11-05 23:22:46,27.79024,86.71812,"4,386",1.08,1.74,0.94
2017-11-05 23:32:46,27.79136,86.71751,"4,394",0.54,0.84,0.47
2017-11-05 23:42:46,27.79149,86.71683,"4,406",0.24,0.42,0.21
2017-11-06 19:56:46,27.80887,86.71429,"4,398",0.06,0.1,0.05
